Cluster,gleditsia triacanthos,platanus acerifolia,quercus palustris,ginkgo biloba,quercus acutissima,pyrus calleryana,koelreuteria paniculata,styphnolobium japonicum,zelkova serrata,tilia cordata,crataegus,quercus robur,quercus bicolor,liquidambar styraciflua,fraxinus pennsylvanica,quercus phellos,syringa reticulata,prunus,acer platanoides,liriodendron tulipifera,acer campestre,ulmus americana,acer saccharinum,acer rubrum,cercis canadensis,acer ginnala,quercus rubra,tilia tomentosa,gymnocladus dioicus,tilia americana,malus,metasequoia glyptostroboides,ilex,prunus virginiana,prunus cerasifera,celtis occidentalis,juniperus virginiana,fraxinus,magnolia,catalpa,quercus alba,morus,ulmus parvifolia,acer pseudoplatanus,taxodium distichum,aesculus hippocastanum,fraxinus americana,acer saccharum,acer palmatum,robinia pseudoacacia,carpinus betulus,ailanthus altissima,cornus florida,pinus strobus,tsuga canadensis,amelanchier,cercidiphyllum japonicum,picea pungens,pinus,picea,pinus nigra,picea abies
Cluster15,0.408718331,0.299671593,0.262337662,0.432874355,,0.373836127,0.342857143,0.32304038,0.294227188,0.230769231,0,,0,,0.149206349,0.306451613,0,0.067567568,0.041322314,,,0.112149533,0.16,,,,0.068571429,0.083333333,0.019230769,0.108527132,0,,,0.045454545,0.029411765,0.027777778,,,,,0.040816327,,0.083333333,,,,,,,0.006289308,,,0,,,,,,,,,
Cluster16,0.177464789,0.153846154,0.207964602,0,,0.195121951,,,0,0.06302521,,,,,0,,,0.132743363,0.112676056,,,0.026315789,0.053846154,0.01910828,,,0,0,,0,,,,0.1,0,,,0,,,,,,0,,,,0,0,0,,,0,,,,,,,,,
Cluster17,0.089473684,0.157118548,0.199855177,0.058333333,,0.073972603,,0.24137931,0.032258065,0.055662188,,,,0.029585799,0.013559322,0.035714286,,0.00591716,0.044393292,,,0,0.029490617,0.01826484,,0.159090909,0.025404157,0.086330935,,0.016666667,0,,,0.023255814,0,,,,,,0.039215686,0,0,0,0,0.043478261,,0,0,0,,,0.034482759,,,,,,,,,
Cluster18,0.361111111,0.244712991,0.089361702,0.262658228,,0.15279879,,0.164835165,0.082437276,0.141967621,,,,0.217391304,0.187012987,,,0.047619048,0.19563523,,,0.045454545,0.061728395,0.094430993,,,0,0.037735849,,0.008474576,,,,0,0.028571429,,,0,,,,,0.02,0,,0.053571429,,0,,0.011764706,,,,,,,,,,,,
Cluster19,0.158590308,0.165701043,0.169117647,0.109756098,,0.087662338,,0.193548387,0.068493151,0.057220708,,,,0,0.134920635,,,0.046511628,0.064220183,,0.074074074,0.06122449,0.054545455,0.008196721,,,0.026143791,0.025641026,0.097560976,0,,,,0.076923077,0,,,,,,,,,0,0.027777778,,,0,0,0,0,0,,0,,,,,0,,,
Cluster20,0.178004535,0.13508921,0.15339233,0.091764706,,0.04952381,,0,0.140271493,0.263671875,,,,0.053333333,0.075471698,0.111111111,,0.01910828,0.049706786,,,0,0.026200873,0.006276151,,0,0.026785714,0.023622047,,0.035460993,0,,,0,0,,,,,,0,,,0,,,,0,0,0,0,,0.022727273,,,,,,,,,
Cluster21,0.116402116,0.115405853,0.238817286,0.086757991,,0.047146402,,0.071428571,0.026315789,0.070726916,,,,0.169230769,0.008571429,0,,0.032608696,0.066820276,,,0.009708738,0.034920635,0.008264463,0,0,0.043062201,0.011494253,,0.008333333,,,,0,0,,,0,,,0,0,0,0.040322581,0.035714286,0.06,,0,0,0,0,,0,0,,,,,,,,
Cluster22,0.501595179,0.308133971,0.35443038,0.323754789,,0.35821967,,0.365625,0.303030303,0.242225859,,,0.342857143,0.083333333,0.088319088,0.25,,0.148148148,0.078389831,,0.319444444,0.136,0,0.125,,0.179104478,0.268493151,0.106870229,,0.092436975,0.022727273,,,0,0,0,,0,,,0,,0.098214286,0,,,,0,,0.006060606,,0,,,,,,,,,,
Cluster23,0.045053004,0.108471074,0.023339318,0,,0.00862069,0,0,0,0.005586592,,,,0,0,0,0,0.042471042,0.00814427,,,0,0.004514673,0.03525641,0,,0.006493506,0.035087719,,0.024390244,0,,,0,0.017699115,0.15,,,,,0,0,0,0.031578947,0,,,0,0,0,,0,0,0,,,,,,,,
Cluster24,0.401837928,0.487003433,0.303827751,0.308228731,,0.323149236,,0.12962963,0.229508197,0.207986689,,0.434782609,,0.103448276,0.264248705,0.181818182,,0.060606061,0.113924051,,,0.111111111,0.119047619,0.072,,,0.148148148,0.14,,0.112068966,0.015151515,0.1,,0,0.066666667,,,0,,,,,,,,,,0,0,0,,0,0,,,,,,,,,
Cluster25,0.227678571,0.617131063,0.56940874,0.4,,0.363636364,,0.267605634,0.261744966,0.194029851,,,,0.419607843,0.101449275,0.227272727,,0.206896552,0.180305132,,0.428571429,0,0.173611111,0.248148148,,0.064516129,0.007936508,0.131578947,,0.095238095,,,,0.1,0.111111111,0,,,0,,,,0,0,,,,0,0.044444444,,,,,0,,,,,,,,
