Cluster,acer campestre,acer ginnala,acer palmatum,acer platanoides,acer pseudoplatanus,acer rubrum,acer saccharinum,acer saccharum,aesculus hippocastanum,ailanthus altissima,amelanchier,carpinus betulus,catalpa,celtis occidentalis,cercidiphyllum japonicum,cercis canadensis,cornus florida,crataegus,fraxinus,fraxinus americana,fraxinus pennsylvanica,ginkgo biloba,gleditsia triacanthos,gymnocladus dioicus,ilex,juniperus virginiana,koelreuteria paniculata,liquidambar styraciflua,liriodendron tulipifera,magnolia,malus,metasequoia glyptostroboides,morus,picea,picea abies,picea pungens,pinus,pinus nigra,pinus strobus,platanus acerifolia,prunus,prunus cerasifera,prunus virginiana,pyrus calleryana,quercus acutissima,quercus alba,quercus bicolor,quercus palustris,quercus phellos,quercus robur,quercus rubra,robinia pseudoacacia,styphnolobium japonicum,syringa reticulata,taxodium distichum,tilia americana,tilia cordata,tilia tomentosa,tsuga canadensis,ulmus americana,ulmus parvifolia,zelkova serrata
Cluster27,,,,1091,42,142,169,22,,42,,31,,37,,,26,,,,343,158,1063,,,,,,,,69,,54,,33,,,,23,1533,113,107,44,684,21,43,,586,49,,115,60,139,,,119,380,118,,62,27,167
Cluster28,33,62,31,2973,90,465,751,80,,20,,,22,47,,,46,,96,,257,324,829,,,,,79,,,30,,,,,,,,,1238,352,108,,770,,41,95,535,23,,129,40,86,29,,147,618,232,,,23,293
Cluster29,,,,463,,520,349,22,,,,,,,,,,,,,264,,71,,,,,209,,,,,,,,,,,,193,112,49,,2249,,,,186,,,35,,,,,,55,20,,,,25
Cluster30,54,90,20,1365,103,445,246,247,,33,,,,36,24,,,,39,,509,419,1592,,,,22,81,,,,,,,,,,,,1592,90,91,,863,,28,,836,111,,205,134,155,,,213,864,57,,94,82,483
Cluster31,23,,,98,,86,,,,23,,28,,24,26,,,29,,,286,312,1336,81,,,26,209,36,,,28,,,,,,,,1246,57,40,83,818,,60,53,853,28,122,209,223,216,,24,319,879,290,,42,52,388
Cluster32,,,,409,,67,,,,,,,,,,,,,,,372,207,1579,,,,,36,,,,,,,,,,,,1168,91,53,29,674,,,,640,68,,121,59,258,,,116,548,88,,118,,389
Cluster33,57,59,56,1172,127,344,194,150,,,,,,23,,,38,,,,165,207,441,,,28,,89,,22,,,26,29,,,20,,24,736,108,63,,695,,,,392,30,,86,51,97,,,102,252,74,22,75,41,181
Cluster34,75,59,99,3092,108,342,607,92,23,23,,26,,21,27,,76,,21,25,446,183,687,,,,27,200,21,34,69,,39,,32,31,,,,1740,408,111,24,1065,,34,,1090,,,348,67,143,24,,207,667,193,,45,25,338
Cluster35,,,28,996,48,93,132,,,,,,,,,60,,,,,85,68,210,,,,,32,,,,39,,,,,,,,2657,113,36,42,275,,,,272,,,22,,39,42,40,,182,24,,,,105
Cluster36,25,,,652,22,158,39,76,,33,,21,,,,,,,,,493,171,650,,,,,46,,,,21,,,,,,,,1231,116,30,20,464,28,,,753,,22,243,47,149,,,127,484,152,,541,,283
Cluster37,,59,216,2727,261,520,1215,189,43,20,,26,,43,,,131,,,,438,214,499,,,,,261,33,28,42,,34,20,,30,,,65,2273,381,175,104,1129,,48,,1543,26,,342,83,140,49,45,156,485,282,,114,32,236
Cluster38,22,58,207,2924,251,585,1009,218,84,32,,22,,33,22,42,105,22,,,435,101,504,,,,,173,,29,75,,47,,,,,,84,1756,361,291,75,1389,,31,,1184,,45,482,122,38,42,31,190,664,190,,64,69,140
